countries,gdp_pp
Belgium,33560
Bulgaria,6600
Czechia,17340
Denmark,48150
Germany,34310
Estonia,15250
Ireland,62980
Greece,16300
Spain,22350
France,30690
Croatia,11500
Italy,24890
Cyprus,23050
Latvia,12130
Lithuania,13890
Luxembourg,81290
Hungary,12640
Malta,19840
Netherlands,40160
Austria,35610
Poland,12680
Portugal,17200
Romania,8780
Slovenia,19420
Slovakia,15090
Finland,36070
Sweden,42650
Iceland,36150
Norway,68630
Switzerland,60500
United Kingdom,
Montenegro,
North Macedonia,
Serbia,5410
Turkey,11590
